O*NET-SOC Code,Title,Task,Category,Original Task ID,Original Task,Date,Domain Source
17-1022.01,Geodetic Surveyors,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, drones, land information systems, or other geodetic survey equipment.",Revision,16301,"Determine orientation of tracts of land, including position, boundaries, size, and shape, using theodolites, electronic distance-measuring equipment, satellite-based positioning equipment, land information systems, or other geodetic survey equipment.",05/2025,AI/SME
17-2011.00,Aerospace Engineers,Develop and test autonomous systems for uncrewed aerospace vehicles.,New,,,05/2025,AI/SME
17-2011.00,Aerospace Engineers,Develop software for aerospace systems.,New,,,07/2015,Incumbent
17-2021.00,Agricultural Engineers,Communicate results in peer-reviewed research articles or at workshops or conferences.,New,,,08/2024,Occupational Expert
17-2021.00,Agricultural Engineers,"Use agricultural drones for crop monitoring, irrigation management, and pest control.",New,,,05/2025,AI/SME
17-2041.00,Chemical Engineers,Adapt processes to convert from small-scale laboratory operations to large-scale commercial production.,New,,,08/2025,Occupational Expert
17-2041.00,Chemical Engineers,Develop process flow diagrams or pipe and instrumentation diagrams.,New,,,08/2025,Occupational Expert
17-2051.00,Civil Engineers,"Use drone technology for site surveying, inspection, and monitoring of infrastructure projects.",New,,,05/2025,AI/SME
17-2051.01,Transportation Engineers,Develop plans for integration of drone technology into transportation systems for purposes such as delivery of goods or traffic monitoring.,New,,,05/2025,AI/SME
17-2111.02,Fire-Prevention and Protection Engineers,Develop or modify building codes and fire codes.,New,,,08/2025,Occupational Expert
17-2111.02,Fire-Prevention and Protection Engineers,"Perform testing on fire protection equipment or building features, such as fire doors or smoke control systems.",New,,,08/2025,Occupational Expert
17-2111.02,Fire-Prevention and Protection Engineers,Review building plans to verify compliance with fire and building codes.,Revision,24004,Review building plans to verify compliance with fire code.,08/2025,Occupational Expert
17-2112.01,Human Factors Engineers and Ergonomists,Assess systems to identify and quantify risk factors.,New,,,08/2024,Occupational Expert
17-2121.00,Marine Engineers and Naval Architects,"Develop plans for safely drydocking vessels, including structural integrity, block loading, and stability.",New,,,08/2025,Occupational Expert
17-2141.00,Mechanical Engineers,Investigate equipment failures or diagnose faulty operations and recommend or perform remedial actions.,Revision,20734,Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,08/2024,Incumbent
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Use drone technology for aerial surveys and inspections of mining sites to enhance safety and efficiency.,New,,,05/2025,AI/SME
17-2161.00,Nuclear Engineers,"Recommend preventive measures to be taken in handling nuclear technology based on data obtained from operations monitoring, systematic analysis, or evaluation of test results.",Revision,5386,"Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.",08/2024,Occupational Expert
17-2171.00,Petroleum Engineers,Use drone technology for aerial surveying and monitoring of drilling sites.,New,,,05/2025,AI/SME
17-2199.10,Wind Energy Engineers,Analyze meteorological data.,New,,,07/2012,Incumbent
17-2199.10,Wind Energy Engineers,Design electrical interconnections.,New,,,07/2012,Incumbent
17-2199.10,Wind Energy Engineers,Design wind turbine components.,New,,,07/2012,Incumbent
17-2199.10,Wind Energy Engineers,Estimate energy production by analyzing wind data.,New,,,07/2012,Incumbent
17-3011.00,Architectural and Civil Drafters,Use drone technology to capture aerial views and topographical data for civil engineering projects.,New,,,05/2025,AI/SME
17-3013.00,Mechanical Drafters,Create bills of materials.,New,,,07/2017,Incumbent
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"Operate, test, and troubleshoot uncrewed aerial systems, commonly known as drones, to ensure optimal performance.",New,,,05/2025,AI/SME
17-3022.00,Civil Engineering Technologists and Technicians,"Operate drones for site surveying and inspection, providing detailed aerial views of project sites.",New,,,05/2025,AI/SME
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Program and calibrate drones for specific missions or tasks, ensuring proper functionality and performance.",New,,,05/2025,AI/SME
17-3029.01,Non-Destructive Testing Specialists,"Operate drones for remote inspection of large or hard-to-reach structures, such as wind turbines, bridges, or tall buildings.",New,,,05/2025,AI/SME
17-3031.00,Surveying and Mapping Technicians,Use drone technology to capture aerial images or videos for creating detailed and accurate maps.,New,,,05/2025,AI/SME
19-1012.00,Food Scientists and Technologists,Test processing equipment to ensure products are produced according to specifications.,New,,,08/2025,Occupational Expert
19-1021.00,Biochemists and Biophysicists,Analyze biochemical or biophysical data.,New,,,08/2020,Occupational Expert
19-1022.00,Microbiologists,"Perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection and interpret the results.",Revision,15213,"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",08/2024,Occupational Expert
19-1023.00,Zoologists and Wildlife Biologists,"Use advanced technologies, such as GIS, remote sensing, and drone technology, for wildlife tracking, habitat mapping, and population studies.",New,,,05/2025,AI/SME
19-1029.04,Biologists,Inventory and order lab supplies.,New,,,08/2025,Incumbent
19-1031.02,Range Managers,Apply herbicide to eliminate harmful plants.,New,,,08/2020,Incumbent
19-1031.03,Park Naturalists,Train staff and volunteers on park programs.,Revision,23959,Train staff on park programs.,08/2023,Incumbent
19-1041.00,Epidemiologists,Teach epidemiology to students in public health programs.,New,,,08/2023,Occupational Expert
19-2011.00,Astronomers,Write and review scientific proposals and research papers.,Revision,20049,Review scientific proposals and research papers.,08/2024,Occupational Expert
19-2012.00,Physicists,Perform peer reviews of scientific papers.,New,,,08/2020,Incumbent
19-2032.00,Materials Scientists,"Research or design methods of processing, forming, and firing materials to develop products, such as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",Revision,9094,"Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",08/2024,Occupational Expert
19-2032.00,Materials Scientists,Review and select materials for products to meet product design and cost requirements.,New,,,08/2024,Occupational Expert
19-2041.03,Industrial Ecologists,Conduct life cycle assessments of products.,New,,,08/2021,Occupational Expert
19-2043.00,Hydrologists,"Prepare reports or presentations describing research results, using illustrations, maps, appendices, and other information.",Revision,18618,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",08/2018,Occupational Expert
19-2099.01,Remote Sensing Scientists and Technologists,Develop protocols and procedures for planning and executing drone-based remote sensing missions to ensure they comply with standards and requirements.,New,,,05/2025,AI/SME
19-3011.00,Economists,Construct and manage economic datasets.,New,,,08/2024,Occupational Expert
19-3011.00,Economists,Present research at seminars and conferences.,New,,,08/2024,Occupational Expert
19-3011.00,Economists,"Review documents written by others, such as referee reports.",Revision,23988,Review documents written by others.,08/2024,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,Develop and administer surveys to employees of organizations.,New,,,08/2023,Occupational Expert
19-3032.00,Industrial-Organizational Psychologists,Teach industrial-organizational psychology courses to undergraduate or graduate students.,New,,,08/2023,Occupational Expert
19-3039.03,Clinical Neuropsychologists,Provide feedback to patients and their families on the results of neuropsychological evaluations and recommendations.,New,,,08/2024,Occupational Expert
19-3041.00,Sociologists,Mentor sociology students.,New,,,08/2023,Occupational Expert
19-3041.00,Sociologists,Review sociological research and articles.,New,,,08/2023,Occupational Expert
19-3091.00,Anthropologists and Archeologists,"Write, present, and publish research findings for a variety of specialized and general audiences.",Revision,22234,Write about and present research findings for a variety of specialized and general audiences.,08/2024,Occupational Expert
19-3093.00,Historians,Coordinate artifact donations on behalf of a museum.,New,,,08/2025,Incumbent
19-3093.00,Historians,Create and revise scripts for the tour guides.,New,,,08/2025,Incumbent
19-3093.00,Historians,Write policies and procedures for archival collection care and research protocols.,New,,,08/2025,Incumbent
19-4012.01,Precision Agriculture Technicians,Operate drone technology to capture aerial imagery and data for crop monitoring and analysis.,New,,,05/2025,AI/SME
19-4051.02,Nuclear Monitoring Technicians,"Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",Revision,7608,"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,Document results from radiation and contamination surveys.,New,,,07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,"Inspect, test, and maintain respiratory protection equipment.",New,,,07/2014,Incumbent
19-4051.02,Nuclear Monitoring Technicians,Write radiological work permits.,New,,,07/2014,Incumbent
19-4061.00,Social Science Research Assistants,Write grant proposals.,New,,,08/2019,Incumbent
19-4071.00,Forest and Conservation Technicians,Develop contracts related to operations.,New,,,08/2018,Incumbent
19-4071.00,Forest and Conservation Technicians,Monitor environmental conditions such as temperature or humidity.,New,,,08/2018,Incumbent
19-4071.00,Forest and Conservation Technicians,"Operate and manage drone technology for aerial surveys and mapping, wildlife monitoring, and forest health assessments.",New,,,05/2025,AI/SME
19-4071.00,Forest and Conservation Technicians,Write reports on forestry or conservation activities.,New,,,08/2018,Incumbent
19-4092.00,Forensic Science Technicians,Enter data into databases.,New,,,08/2023,Incumbent
19-4092.00,Forensic Science Technicians,Operate drones to capture aerial footage or photographs of crime scenes for further analysis.,New,,,05/2025,AI/SME
19-4099.03,Remote Sensing Technicians,Operate remote sensing equipment on drones to collect data in areas that are difficult to access or require high-resolution imagery.,New,,,05/2025,AI/SME
21-1013.00,Marriage and Family Therapists,Diagnose mental and emotional disorders in clients.,New,,,08/2020,Incumbent
21-1014.00,Mental Health Counselors,Guide clients in the development of skills or strategies for dealing with their problems and coping with triggering factors.,Revision,1593,Guide clients in the development of skills or strategies for dealing with their problems.,08/2025,Occupational Expert
21-1014.00,Mental Health Counselors,"Respond to client communications by monitoring voicemail and email, returning phone calls, and making follow-up calls for missed appointments.",New,,,08/2025,Occupational Expert
21-1022.00,Healthcare Social Workers,Conduct psychological assessment of clients.,New,,,08/2021,Occupational Expert
21-1093.00,Social and Human Service Assistants,Teach parenting techniques to family members.,New,,,08/2020,Incumbent
23-1023.00,"Judges, Magistrate Judges, and Magistrates",Issue search or arrest warrants.,Revision,21182,Issue arrest warrants.,08/2020,Incumbent
23-2011.00,Paralegals and Legal Assistants,Manage attorneys' calendars and schedule meetings.,New,,,08/2024,Incumbent
23-2011.00,Paralegals and Legal Assistants,"Request, review, and summarize relevant records for the cases.",New,,,08/2024,Incumbent
25-1022.00,"Mathematical Science Teachers, Postsecondary",Hire adjunct faculty.,New,,,08/2019,Incumbent
25-1042.00,"Biological Science Teachers, Postsecondary",Write letters of recommendation for students.,New,,,08/2019,Incumbent
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Monitor research program budgets.,New,,,08/2020,Incumbent
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.",Revision,5849,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.",08/2019,Incumbent
25-1054.00,"Physics Teachers, Postsecondary",Review articles to determine their suitability for publication.,New,,,08/2019,Incumbent
25-1066.00,"Psychology Teachers, Postsecondary",Mentor other faculty members.,New,,,08/2019,Incumbent
25-1067.00,"Sociology Teachers, Postsecondary",Give presentations to community groups.,New,,,08/2019,Incumbent
25-1067.00,"Sociology Teachers, Postsecondary",Review manuscripts.,New,,,08/2019,Incumbent
25-1067.00,"Sociology Teachers, Postsecondary",Write letters of recommendation for students.,New,,,08/2019,Incumbent
25-1081.00,"Education Teachers, Postsecondary",Deliver presentations at professional conferences.,New,,,08/2019,Incumbent
25-1082.00,"Library Science Teachers, Postsecondary",Serve as a mentor.,New,,,08/2019,Incumbent
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Direct theater productions.,New,,,08/2019,Incumbent
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Mentor students.,New,,,08/2019,Incumbent
25-1125.00,"History Teachers, Postsecondary",Evaluate faculty members.,New,,,08/2019,Incumbent
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Monitor department budgets.,New,,,08/2019,Incumbent
25-2057.00,"Special Education Teachers, Middle School","Track students' progress on computer-based programs, such as reading fluency and comprehension.",New,,,08/2025,Incumbent
25-2058.00,"Special Education Teachers, Secondary School",Monitor students using personal electronics or school-issued technology.,New,,,08/2025,Incumbent
25-2059.01,Adapted Physical Education Specialists,Discuss with education professionals the physical abilities or disabilities of students and the accommodations required to enhance their school performance.,Revision,17015,Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.,08/2020,Occupational Expert
25-3031.00,"Substitute Teachers, Short-Term",Provide teachers with notes summarizing the day's activities and feedback on any issues or events that occurred.,New,,,08/2025,Incumbent
25-4011.00,Archivists,Write grants and apply for funding to support archival work.,New,,,08/2024,Occupational Expert
25-4031.00,Library Technicians,Open and close the library.,New,,,07/2017,Incumbent
25-9044.00,"Teaching Assistants, Postsecondary",Correspond with students through email to address their questions and concerns.,New,,,07/2016,Incumbent
27-1025.00,Interior Designers,"Review contractor bids to subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",Revision,1739,"Subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",08/2024,Occupational Expert
27-2012.05,Media Technical Directors/Managers,Coordinate the use of drone technology for aerial filming and photography.,New,,,05/2025,AI/SME
27-2032.00,Choreographers,Plan and direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,Revision,11028,Direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,08/2024,Occupational Expert
27-3041.00,Editors,Respond to questions from the public.,New,,,07/2017,Incumbent
27-3041.00,Editors,"Write text, such as headlines, stories, articles, editorials, or newsletters.",Revision,21000,"Write text, such as stories, articles, editorials, or newsletters.",07/2017,Incumbent
27-3092.00,Court Reporters and Simultaneous Captioners,File exhibits.,New,,,08/2020,Incumbent
27-3092.00,Court Reporters and Simultaneous Captioners,Perform secretarial tasks for the court.,New,,,08/2020,Incumbent
27-3092.00,Court Reporters and Simultaneous Captioners,Swear in witnesses.,New,,,08/2020,Incumbent
27-4011.00,Audio and Video Technicians,Operate drones for aerial videography and photography during live events or for pre-recorded material.,New,,,05/2025,AI/SME
27-4011.00,Audio and Video Technicians,Purchase audio or video equipment.,New,,,08/2018,Incumbent
27-4012.00,Broadcast Technicians,Develop budgets.,New,,,08/2019,Incumbent
27-4021.00,Photographers,Engage in research to learn technological developments and techniques or to develop new photographic procedures and materials.,Revision,9363,Engage in research to develop new photographic procedures and materials.,08/2021,Occupational Expert
27-4021.00,Photographers,"Operate drones to capture aerial photographs and videos, following all regulatory guidelines.",New,,,05/2025,AI/SME
27-4031.00,"Camera Operators, Television, Video, and Film","Operate drones to capture aerial or unique angle footage for film, television, or video productions.",New,,,05/2025,AI/SME
27-4032.00,Film and Video Editors,Write scripts.,New,,,08/2020,Incumbent
29-1011.00,Chiropractors,Provide guidance to patients on exercises they can perform to improve mobility.,New,,,07/2013,Incumbent
29-1011.00,Chiropractors,Take x-rays.,New,,,07/2013,Incumbent
29-1022.00,Oral and Maxillofacial Surgeons,Evaluate and treat problems related to the temperomandibular joint (TMJ).,New,,,07/2012,Incumbent
29-1024.00,Prosthodontists,Consult with patients about treatment options.,New,,,08/2024,Incumbent
29-1024.00,Prosthodontists,Create treatment plans for patients.,New,,,08/2024,Incumbent
29-1071.00,Physician Assistants,Refer patients to other healthcare providers.,New,,,08/2021,Occupational Expert
29-1122.00,Occupational Therapists,Recommend adaptive equipment to individuals to increase independence in daily living activities.,New,,,08/2021,Occupational Expert
29-1126.00,Respiratory Therapists,Attend high-risk and caesarian section infant deliveries to provide neonatal respiratory care as needed.,New,,,07/2013,Incumbent
29-1141.02,Advanced Practice Psychiatric Nurses,Mentor nursing students.,New,,,08/2023,Occupational Expert
29-1141.04,Clinical Nurse Specialists,Develop and evaluate work processes based on evidence-based standards.,New,,,08/2025,Occupational Expert
29-1161.00,Nurse Midwives,Evaluate mental health of patients.,New,,,08/2021,Occupational Expert
29-1161.00,Nurse Midwives,Screen patients for gynecologic conditions such as infections.,New,,,08/2021,Occupational Expert
29-1211.00,Anesthesiologists,Place invasive intravascular monitors into patients.,New,,,07/2012,Incumbent
29-1211.00,Anesthesiologists,Teach anesthesiology principles to residents.,New,,,07/2012,Incumbent
29-1214.00,Emergency Medicine Physicians,Consult and direct other medical personnel on patient care.,New,,,08/2025,Occupational Expert
29-1214.00,Emergency Medicine Physicians,Process patient transfers to and from other hospitals.,New,,,08/2025,Occupational Expert
29-1223.00,Psychiatrists,Perform mental health evaluations to provide information to courts of law on patients' mental states.,New,,,07/2014,Incumbent
29-2011.00,Medical and Clinical Laboratory Technologists,Conduct blood typing and antibody screening.,New,,,08/2025,Incumbent
29-2011.04,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes or cryostats.",Revision,22780,"Cut sections of body tissues for microscopic examination, using microtomes.",08/2024,Occupational Expert
29-2011.04,Histotechnologists,Select and maintain controls for stains.,New,,,08/2024,Occupational Expert
29-2012.00,Medical and Clinical Laboratory Technicians,Perform quality control analyses to ensure accuracy of test results.,New,,,07/2014,Incumbent
29-2012.01,Histology Technicians,Load slides onto staining equipment.,New,,,08/2025,Occupational Expert
29-2031.00,Cardiovascular Technologists and Technicians,"Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.",Revision,15234,"Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.",07/2014,Incumbent
29-2033.00,Nuclear Medicine Technologists,Schedule patients for nuclear medicine exams and procedures.,New,,,07/2013,Incumbent
29-2055.00,Surgical Technologists,Schedule surgical procedures for patients.,New,,,07/2013,Incumbent
29-2055.00,Surgical Technologists,Transport patients to and from the operating room.,New,,,07/2013,Incumbent
29-2057.00,Ophthalmic Medical Technicians,Order supplies.,New,,,08/2020,Occupational Expert
29-2057.00,Ophthalmic Medical Technicians,"Perform examinations using ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",Revision,19250,"Operate ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",08/2020,Occupational Expert
29-9091.00,Athletic Trainers,Develop emergency action plans for sports facilities.,New,,,08/2021,Incumbent
29-9099.01,Midwives,Test patients for sexually transmitted infections.,New,,,08/2021,Incumbent
31-1121.00,Home Health Aides,Assist patients with toileting and incontinent care.,New,,,07/2014,Incumbent
31-1121.00,Home Health Aides,Feed patients.,New,,,07/2014,Incumbent
31-1122.00,Personal Care Aides,"Administer bedside or personal care, such as assistance with ambulation, dressing, feeding, or personal hygiene.",Revision,2370,"Administer bedside or personal care, such as ambulation or personal hygiene assistance.",08/2023,Incumbent
31-2012.00,Occupational Therapy Aides,Sanitize equipment.,New,,,08/2020,Incumbent
31-9093.00,Medical Equipment Preparers,Order medical supplies for healthcare facilities or laboratories.,New,,,07/2014,Incumbent
31-9097.00,Phlebotomists,Confirm the identities of patients by verifying their personal information.,New,,,08/2019,Occupational Expert
33-1012.00,First-Line Supervisors of Police and Detectives,Read and review subordinates' reports to ensure legal standards are met and there are no mistakes.,New,,,08/2024,Incumbent
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Deploy and monitor drones for aerial surveillance and assessment of fire situations.,New,,,05/2025,AI/SME
33-2022.00,Forest Fire Inspectors and Prevention Specialists,"Operate drones to monitor and assess fire conditions, track fire progress, and identify safe access points for firefighters.",New,,,05/2025,AI/SME
33-3012.00,Correctional Officers and Jailers,Conduct security checks of the premises.,New,,,08/2023,Incumbent
33-3021.00,Detectives and Criminal Investigators,Operate drones for aerial surveillance or to gather evidence from difficult to reach locations.,New,,,05/2025,AI/SME
33-3021.02,Police Identification and Records Officers,Use drone technology for aerial photography and videography of crime scenes.,New,,,05/2025,AI/SME
33-3021.06,Intelligence Analysts,Make recommendations for investigations and subpoenas.,New,,,08/2024,Occupational Expert
33-3031.00,Fish and Game Wardens,Operate drones for surveillance of large areas and tracking of wildlife.,New,,,05/2025,AI/SME
33-3041.00,Parking Enforcement Workers,"Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic or pedestrians.",Revision,7949,"Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic.",07/2016,Incumbent
33-9011.00,Animal Control Workers,"Deliver educational presentations on wildlife topics, such as animal safety, at schools and community events.",New,,,08/2025,Occupational Expert
33-9011.00,Animal Control Workers,Pick up deceased animals from roadways and dispose of the animal carcasses.,New,,,08/2025,Occupational Expert
33-9011.00,Animal Control Workers,Testify at court hearings when citations are contested.,New,,,08/2025,Occupational Expert
33-9011.00,Animal Control Workers,Transport injured or ill wildlife to rescues.,New,,,08/2025,Occupational Expert
33-9021.00,Private Detectives and Investigators,Serve documents to parties named in legal proceedings.,New,,,07/2015,Incumbent
33-9021.00,Private Detectives and Investigators,"Use advanced technology, such as drones, GPS trackers, and surveillance cameras, to facilitate investigations.",New,,,05/2025,AI/SME
33-9099.02,Retail Loss Prevention Specialists,Use drone technology for surveillance and loss prevention.,New,,,05/2025,AI/SME
35-2011.00,"Cooks, Fast Food",Take out garbage.,New,,,08/2019,Incumbent
35-2021.00,Food Preparation Workers,"Check and log refrigerator, freezer, and cooler temperatures.",New,,,08/2024,Incumbent
35-3011.00,Bartenders,Provide customers with directions or answers to questions.,New,,,07/2017,Incumbent
35-3023.00,Fast Food and Counter Workers,Check and monitor food temperatures while cooking.,New,,,08/2025,Incumbent
35-3031.00,Waiters and Waitresses,Check with customers to see if they want to apply any rewards to their purchase.,New,,,08/2025,Incumbent
